id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_097,number_format_noise,0.971,0.9565,-0.0145,0.9373,0.8966,-0.0407
nc_098,mixed_noise,0.875,0.875,0.0,0.6941,0.6941,0.0
nc_099,missing_punctuation,0.9494,0.9494,0.0,0.8571,0.8257,-0.0314
nc_100,merged_words,0.962,0.9494,-0.0127,0.868,0.8235,-0.0445
nc_101,split_words,0.9634,0.9506,-0.0128,0.8934,0.8518,-0.0416
nc_102,spelling_variation,0.9747,0.962,-0.0127,0.9208,0.8769,-0.044
nc_103,dropped_function_words,0.9494,0.9367,-0.0127,0.9352,0.8908,-0.0444
nc_104,number_format_noise,1.0,0.9873,-0.0127,1.0,0.9562,-0.0438
nc_105,mixed_noise,0.8101,0.8101,0.0,0.7014,0.7014,0.0
nc_106,missing_punctuation,0.8226,0.8387,0.0161,0.58,0.5954,0.0154
nc_107,merged_words,0.9677,0.9677,0.0,0.8866,0.8866,0.0
nc_108,split_words,0.9538,0.9538,0.0,0.8885,0.8885,0.0
nc_109,spelling_variation,0.8871,0.8871,0.0,0.7413,0.7413,0.0
nc_110,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_111,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_112,mixed_noise,0.9516,0.9516,0.0,0.8808,0.8808,0.0
nc_113,missing_punctuation,0.9367,0.9367,0.0,0.8124,0.7788,-0.0336
nc_114,merged_words,0.9747,0.9747,0.0,0.9122,0.9122,0.0
nc_115,split_words,0.9875,0.9747,-0.0128,0.9643,0.9226,-0.0416
nc_116,spelling_variation,0.9494,0.9367,-0.0127,0.8326,0.7882,-0.0445
nc_117,dropped_function_words,0.9494,0.9367,-0.0127,0.9352,0.8908,-0.0444
nc_118,number_format_noise,1.0,0.9873,-0.0127,1.0,0.9562,-0.0438
nc_119,mixed_noise,0.9114,0.9114,0.0,0.7293,0.6955,-0.0338
nc_120,missing_punctuation,0.9692,0.9692,0.0,0.8921,0.8921,0.0
nc_121,merged_words,0.9692,0.9692,0.0,0.8921,0.8921,0.0
nc_122,split_words,0.9701,0.9701,0.0,0.9126,0.9126,0.0
nc_123,spelling_variation,0.9692,0.9692,0.0,0.914,0.914,0.0
nc_124,dropped_function_words,0.9231,0.9231,0.0,0.8793,0.8793,0.0
nc_125,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_126,mixed_noise,0.9231,0.9231,0.0,0.8793,0.8793,0.0
nc_127,missing_punctuation,0.925,0.925,0.0,0.8648,0.8601,-0.0047
nc_128,merged_words,0.975,0.975,0.0,0.9374,0.9374,0.0
nc_129,split_words,0.9756,0.9756,0.0,0.9541,0.9541,0.0
nc_130,spelling_variation,0.95,0.95,0.0,0.8223,0.8223,0.0
nc_131,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_132,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_133,mixed_noise,0.875,0.875,0.0,0.6723,0.6723,0.0
nc_134,missing_punctuation,0.9688,0.9688,0.0,0.8903,0.8903,0.0
nc_135,merged_words,0.9688,0.9688,0.0,0.8988,0.8988,0.0
nc_136,split_words,0.9412,0.9412,0.0,0.84,0.84,0.0
nc_137,spelling_variation,0.9688,0.9688,0.0,0.9312,0.9312,0.0
nc_138,dropped_function_words,0.8906,0.8906,0.0,0.8498,0.8498,0.0
nc_139,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_140,mixed_noise,0.8281,0.8281,0.0,0.7707,0.7707,0.0
nc_141,missing_punctuation,0.9362,0.9362,0.0,0.8867,0.8401,-0.0466
nc_142,merged_words,0.9787,0.9574,-0.0213,0.9239,0.859,-0.0649
nc_143,split_words,0.9792,0.9574,-0.0217,0.938,0.8774,-0.0607
nc_144,spelling_variation,0.9149,0.8936,-0.0213,0.7478,0.7214,-0.0264
nc_145,dropped_function_words,0.9574,0.9362,-0.0213,0.9245,0.8593,-0.0652
nc_146,number_format_noise,1.0,0.9787,-0.0213,1.0,0.9358,-0.0642
nc_147,mixed_noise,0.9792,0.9574,-0.0217,0.938,0.8774,-0.0607
nc_148,missing_punctuation,0.9811,0.9811,0.0,0.9332,0.9332,0.0
nc_149,merged_words,0.9811,0.9811,0.0,0.9332,0.9332,0.0
nc_150,split_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_151,spelling_variation,0.9623,0.9623,0.0,0.8623,0.8623,0.0
nc_152,dropped_function_words,0.9434,0.9434,0.0,0.9174,0.9174,0.0
nc_153,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_154,mixed_noise,0.9811,0.9811,0.0,0.9332,0.9332,0.0
nc_155,missing_punctuation,0.9836,1.0,0.0164,0.9863,1.0,0.0137
nc_156,merged_words,0.9836,0.9836,0.0,0.9425,0.9425,0.0
